n, t, workers, frac, accesses, time
10, 500, 1, 0, 1, 0.15054159332066774
10, 500, 2, 0, 1, 0.0922660818323493
10, 500, 4, 0, 1, 0.04673212859779596
10, 500, 8, 0, 1, 0.04313699994236231
10, 500, 15, 0, 1, 0.04527611285448074
10, 500, 1, 0, 5, 0.16420057136565447
10, 500, 2, 0, 5, 0.089468564838171
10, 500, 4, 0, 5, 0.05821674410253763
10, 500, 8, 0, 5, 0.05725251976400614
10, 500, 15, 0, 5, 0.07323277648538351
10, 500, 1, 0, 10, 0.16837883554399014
10, 500, 2, 0, 10, 0.09475213661789894
10, 500, 4, 0, 10, 0.0694687832146883
10, 500, 8, 0, 10, 0.07518935948610306
10, 500, 15, 0, 10, 0.08308564499020576
10, 1000, 1, 0, 1, 0.27109656762331724
10, 1000, 2, 0, 1, 0.14170865155756474
10, 1000, 4, 0, 1, 0.07687683682888746
10, 1000, 8, 0, 1, 0.05558914877474308
10, 1000, 15, 0, 1, 0.05616363976150751
10, 1000, 1, 0, 5, 0.2746427562087774
10, 1000, 2, 0, 5, 0.1496350383386016
10, 1000, 4, 0, 5, 0.08556545060127974
10, 1000, 8, 0, 5, 0.06525716464966536
10, 1000, 15, 0, 5, 0.08331134635955095
10, 1000, 1, 0, 10, 0.2796124266460538
10, 1000, 2, 0, 10, 0.15018607676029205
10, 1000, 4, 0, 10, 0.08956612087786198
10, 1000, 8, 0, 10, 0.07773068081587553
10, 1000, 15, 0, 10, 0.10387117974460125
10, 2000, 1, 0, 1, 0.4862368814647198
10, 2000, 2, 0, 1, 0.25587543100118637
10, 2000, 4, 0, 1, 0.14089209213852882
10, 2000, 8, 0, 1, 0.0952868340536952
10, 2000, 15, 0, 1, 0.07860066462308168
10, 2000, 1, 0, 5, 0.49054382741451263
10, 2000, 2, 0, 5, 0.2567464951425791
10, 2000, 4, 0, 5, 0.14309952221810818
10, 2000, 8, 0, 5, 0.10052661783993244
10, 2000, 15, 0, 5, 0.0957503467798233
10, 2000, 1, 0, 10, 0.49941229075193405
10, 2000, 2, 0, 10, 0.26518478617072105
10, 2000, 4, 0, 10, 0.14934456069022417
10, 2000, 8, 0, 10, 0.10906575806438923
10, 2000, 15, 0, 10, 0.12041087914258242
10, 4000, 1, 0, 1, 0.9130249647423625
10, 4000, 2, 0, 1, 0.4758497513830662
10, 4000, 4, 0, 1, 0.2630193643271923
10, 4000, 8, 0, 1, 0.17176015488803387
10, 4000, 15, 0, 1, 0.13863652292639017
10, 4000, 1, 0, 5, 0.9350225729867816
10, 4000, 2, 0, 5, 0.4837120808660984
10, 4000, 4, 0, 5, 0.2661764342337847
10, 4000, 8, 0, 5, 0.17301969416439533
10, 4000, 15, 0, 5, 0.14096977934241295
10, 4000, 1, 0, 10, 0.9390633339062333
10, 4000, 2, 0, 10, 0.48698903899639845
10, 4000, 4, 0, 10, 0.27020202297717333
10, 4000, 8, 0, 10, 0.17676993273198605
10, 4000, 15, 0, 10, 0.15324795246124268
10, 8000, 1, 0, 1, 1.81235427595675
10, 8000, 2, 0, 1, 0.9291920335963368
10, 8000, 4, 0, 1, 0.5124391047284007
10, 8000, 8, 0, 1, 0.3204863155260682
10, 8000, 15, 0, 1, 0.25722639076411724
10, 8000, 1, 0, 5, 1.8181511471047997
10, 8000, 2, 0, 5, 0.9379852553829551
10, 8000, 4, 0, 5, 0.5148601485416293
10, 8000, 8, 0, 5, 0.3302207738161087
10, 8000, 15, 0, 5, 0.26051830500364304
10, 8000, 1, 0, 10, 1.826489015482366
10, 8000, 2, 0, 10, 0.9421416064724326
10, 8000, 4, 0, 10, 0.5190537003800273
10, 8000, 8, 0, 10, 0.3325764276087284
10, 8000, 15, 0, 10, 0.27472325414419174
10, 16000, 1, 0, 1, 3.5712814489379525
10, 16000, 2, 0, 1, 1.850439254194498
10, 16000, 4, 0, 1, 1.0075564300641418
10, 16000, 8, 0, 1, 0.6403448358178139
10, 16000, 15, 0, 1, 0.49909388553351164
10, 16000, 1, 0, 5, 3.5791629049926996
10, 16000, 2, 0, 5, 1.844424495473504
10, 16000, 4, 0, 5, 1.0124876350164413
10, 16000, 8, 0, 5, 0.6424045609310269
10, 16000, 15, 0, 5, 0.49813633412122726
10, 16000, 1, 0, 10, 3.5852155284956098
10, 16000, 2, 0, 10, 1.85059748403728
10, 16000, 4, 0, 10, 1.0173853049054742
10, 16000, 8, 0, 10, 0.6461062710732222
10, 16000, 15, 0, 10, 0.5019644731655717
10, 32000, 1, 0, 1, 7.093177593313158
10, 32000, 2, 0, 1, 3.646566202864051
10, 32000, 4, 0, 1, 2.001175692304969
10, 32000, 8, 0, 1, 1.2645275322720408
10, 32000, 15, 0, 1, 0.9479889869689941
10, 32000, 1, 0, 5, 7.098668944090605
10, 32000, 2, 0, 5, 3.649425488896668
10, 32000, 4, 0, 5, 2.010264227166772
10, 32000, 8, 0, 5, 1.2358825681731105
10, 32000, 15, 0, 5, 0.9796140305697918
10, 32000, 1, 0, 10, 7.104404514655471
10, 32000, 2, 0, 10, 3.6567629566416144
10, 32000, 4, 0, 10, 2.0140170818194747
10, 32000, 8, 0, 10, 1.2683037873357534
10, 32000, 15, 0, 10, 0.980856953188777
20, 500, 1, 0, 1, 1.127818807028234
20, 500, 2, 0, 1, 0.5406299848109484
20, 500, 4, 0, 1, 0.2903738636523485
20, 500, 8, 0, 1, 0.27277290914207697
20, 500, 15, 0, 1, 0.2998450491577387
20, 500, 1, 0, 5, 1.1626643314957619
20, 500, 2, 0, 5, 0.5826280936598778
20, 500, 4, 0, 5, 0.380887646228075
20, 500, 8, 0, 5, 0.33109797164797783
20, 500, 15, 0, 5, 0.45474435202777386
20, 500, 1, 0, 10, 1.1045359065756202
20, 500, 2, 0, 10, 0.6518192812800407
20, 500, 4, 0, 10, 0.4604623084887862
20, 500, 8, 0, 10, 0.47593003790825605
20, 500, 15, 0, 10, 0.5400725742802024
20, 1000, 1, 0, 1, 1.914698681794107
20, 1000, 2, 0, 1, 0.9442475503310561
20, 1000, 4, 0, 1, 0.49044883716851473
20, 1000, 8, 0, 1, 0.286744536831975
20, 1000, 15, 0, 1, 0.31142933666706085
20, 1000, 1, 0, 5, 1.9447979470714927
20, 1000, 2, 0, 5, 0.9669166561216116
20, 1000, 4, 0, 5, 0.5212114779278636
20, 1000, 8, 0, 5, 0.3640350578352809
20, 1000, 15, 0, 5, 0.5421216189861298
20, 1000, 1, 0, 10, 1.9841967960819602
20, 1000, 2, 0, 10, 1.0192654812708497
20, 1000, 4, 0, 10, 0.5863819746300578
20, 1000, 8, 0, 10, 0.47596662677824497
20, 1000, 15, 0, 10, 0.7350529376417398
20, 2000, 1, 0, 1, 3.4315931340679526
20, 2000, 2, 0, 1, 1.7209724513813853
