n, t, workers, frac, accesses, kernel_total, kernel_average, kernel_median, task_cleanup_total, task_cleanup_average, task_cleanup_median, task_spawn_total
10, 500, 1, 0, 1, 982728, 4466.945454545455, 3115.5, 0, nan, nan, 0
10, 500, 2, 0, 1, 10089742, 45862.46363636364, 7751.5, 0, nan, nan, 0
10, 500, 4, 0, 1, 10691073, 48595.78636363636, 6676.5, 0, nan, nan, 0
10, 500, 8, 0, 1, 69107370, 314124.4090909091, 178293.0, 0, nan, nan, 0
10, 500, 15, 0, 1, 180468526, 820311.4818181818, 607986.0, 0, nan, nan, 0
10, 500, 1, 0, 5, 3223750, 2930.681818181818, 2041.0, 0, nan, nan, 0
10, 500, 2, 0, 5, 7723501, 7021.364545454546, 3967.0, 0, nan, nan, 0
10, 500, 4, 0, 5, 51344900, 46677.181818181816, 6983.5, 0, nan, nan, 0
10, 500, 8, 0, 5, 352961443, 320874.03909090906, 210251.0, 0, nan, nan, 0
10, 500, 15, 0, 5, 585056322, 531869.3836363637, 215918.0, 0, nan, nan, 0
10, 500, 1, 0, 10, 5015207, 2279.6395454545454, 1714.5, 0, nan, nan, 0
10, 500, 2, 0, 10, 13618304, 6190.138181818182, 3723.0, 0, nan, nan, 0
10, 500, 4, 0, 10, 105878900, 48126.77272727273, 22339.5, 0, nan, nan, 0
10, 500, 8, 0, 10, 758585872, 344811.76, 251447.5, 0, nan, nan, 0
10, 500, 15, 0, 10, 1024617670, 465735.30454545456, 226435.5, 0, nan, nan, 0
10, 1000, 1, 0, 1, 1017949, 4627.040909090909, 3394.0, 0, nan, nan, 0
10, 1000, 2, 0, 1, 3096087, 14073.122727272726, 6346.0, 0, nan, nan, 0
10, 1000, 4, 0, 1, 10050005, 45681.84090909091, 8184.0, 0, nan, nan, 0
10, 1000, 8, 0, 1, 35075335, 159433.3409090909, 43879.0, 0, nan, nan, 0
10, 1000, 15, 0, 1, 158723403, 721470.0136363637, 449081.0, 0, nan, nan, 0
10, 1000, 1, 0, 5, 2975382, 2704.8927272727274, 2136.5, 0, nan, nan, 0
10, 1000, 2, 0, 5, 7764712, 7058.829090909091, 4012.0, 0, nan, nan, 0
10, 1000, 4, 0, 5, 28414786, 25831.623636363638, 5587.0, 0, nan, nan, 0
10, 1000, 8, 0, 5, 213506023, 194096.38454545455, 140090.0, 0, nan, nan, 0
10, 1000, 15, 0, 5, 576650910, 524228.1, 189102.5, 0, nan, nan, 0
10, 1000, 1, 0, 10, 5040234, 2291.0154545454548, 1922.0, 0, nan, nan, 0
10, 1000, 2, 0, 10, 10823628, 4919.830909090909, 3682.0, 0, nan, nan, 0
10, 1000, 4, 0, 10, 59202279, 26910.12681818182, 4177.0, 0, nan, nan, 0
10, 1000, 8, 0, 10, 535940022, 243609.10090909092, 151290.5, 0, nan, nan, 0
10, 1000, 15, 0, 10, 968140354, 440063.7972727273, 91340.5, 0, nan, nan, 0
10, 2000, 1, 0, 1, 1011964, 4599.836363636364, 3259.5, 0, nan, nan, 0
10, 2000, 2, 0, 1, 4803922, 21836.00909090909, 8166.0, 0, nan, nan, 0
10, 2000, 4, 0, 1, 7759059, 35268.45, 8485.5, 0, nan, nan, 0
10, 2000, 8, 0, 1, 24174645, 109884.75, 11012.0, 0, nan, nan, 0
10, 2000, 15, 0, 1, 98058304, 445719.56363636366, 168010.0, 0, nan, nan, 0
10, 2000, 1, 0, 5, 2912526, 2647.7509090909093, 2132.5, 0, nan, nan, 0
10, 2000, 2, 0, 5, 9931847, 9028.951818181818, 4858.0, 0, nan, nan, 0
10, 2000, 4, 0, 5, 18121608, 16474.18909090909, 5414.0, 0, nan, nan, 0
10, 2000, 8, 0, 5, 82337309, 74852.09909090909, 8822.0, 0, nan, nan, 0
10, 2000, 15, 0, 5, 599900106, 545363.7327272728, 167992.0, 0, nan, nan, 0
10, 2000, 1, 0, 10, 4763613, 2165.2786363636365, 1795.5, 0, nan, nan, 0
10, 2000, 2, 0, 10, 12972959, 5896.799545454545, 4059.5, 0, nan, nan, 0
10, 2000, 4, 0, 10, 35980985, 16354.993181818181, 3993.0, 0, nan, nan, 0
10, 2000, 8, 0, 10, 254131688, 115514.40363636364, 43390.5, 0, nan, nan, 0
10, 2000, 15, 0, 10, 956160751, 434618.5231818182, 77747.0, 0, nan, nan, 0
10, 4000, 1, 0, 1, 1078877, 4903.986363636363, 3324.0, 0, nan, nan, 0
10, 4000, 2, 0, 1, 6547067, 29759.395454545454, 8976.0, 0, nan, nan, 0
10, 4000, 4, 0, 1, 6149816, 27953.70909090909, 8465.5, 0, nan, nan, 0
10, 4000, 8, 0, 1, 21475166, 97614.39090909091, 11242.0, 0, nan, nan, 0
10, 4000, 15, 0, 1, 77262167, 351191.66818181815, 68499.5, 0, nan, nan, 0
10, 4000, 1, 0, 5, 3141036, 2855.4872727272727, 2310.0, 0, nan, nan, 0
10, 4000, 2, 0, 5, 11010780, 10009.8, 5471.5, 0, nan, nan, 0
10, 4000, 4, 0, 5, 16395542, 14905.038181818181, 5132.0, 0, nan, nan, 0
10, 4000, 8, 0, 5, 47932788, 43575.26181818182, 5553.5, 0, nan, nan, 0
10, 4000, 15, 0, 5, 288714134, 262467.39454545453, 13261.5, 0, nan, nan, 0
10, 4000, 1, 0, 10, 4810569, 2186.6222727272725, 1855.0, 0, nan, nan, 0
10, 4000, 2, 0, 10, 14664428, 6665.649090909091, 5021.0, 0, nan, nan, 0
