n, t, workers, frac, accesses, time
500, 500, 1, 0, 1, 0.35252983000827953
500, 500, 4, 0, 1, 0.08493615873157978
500, 500, 8, 0, 1, 0.0622959490865469
500, 500, 15, 0, 1, 0.07604475785046816
500, 500, 1, 0, 5, 0.3513875547796488
500, 500, 2, 0, 5, 0.19531279150396585
500, 500, 4, 0, 5, 0.10721142962574959
500, 500, 8, 0, 5, 0.09029434807598591
500, 500, 15, 0, 5, 0.13418226689100266
500, 500, 1, 0, 10, 0.37042343616485596
500, 500, 2, 0, 10, 0.20668007154017687
500, 500, 4, 0, 10, 0.12960182409733534
500, 500, 8, 0, 10, 0.14210548996925354
500, 500, 15, 0, 10, 0.15177834127098322
500, 1000, 1, 0, 1, 0.5983788166195154
500, 1000, 2, 0, 1, 0.28293358720839024
500, 1000, 4, 0, 1, 0.1474129818379879
500, 1000, 8, 0, 1, 0.07950292155146599
500, 1000, 15, 0, 1, 0.07792078703641891
500, 1000, 1, 0, 5, 0.6124261757358909
500, 1000, 2, 0, 5, 0.29670861177146435
500, 1000, 4, 0, 5, 0.1570922313258052
500, 1000, 8, 0, 5, 0.10140913352370262
500, 1000, 15, 0, 5, 0.1492535388097167
500, 1000, 1, 0, 10, 0.6245883023366332
500, 1000, 2, 0, 10, 0.31099556758999825
500, 1000, 4, 0, 10, 0.1738865403458476
500, 1000, 8, 0, 10, 0.13669559732079506
500, 1000, 15, 0, 10, 0.20633635763078928
500, 2000, 1, 0, 1, 1.0745307160541415
500, 2000, 2, 0, 1, 0.5361577337607741
500, 2000, 4, 0, 1, 0.27367435675114393
500, 2000, 8, 0, 1, 0.14099703449755907
500, 2000, 15, 0, 1, 0.08397354744374752
500, 2000, 1, 0, 5, 1.1108717499300838
500, 2000, 2, 0, 5, 0.5469694985076785
500, 2000, 4, 0, 5, 0.2780784936621785
500, 2000, 8, 0, 5, 0.14896014612168074
500, 2000, 15, 0, 5, 0.13419959228485823
500, 2000, 1, 0, 10, 1.1220668815076351
500, 2000, 2, 0, 10, 0.5584346856921911
500, 2000, 4, 0, 10, 0.29133399203419685
500, 2000, 8, 0, 10, 0.17163822706788778
500, 2000, 15, 0, 10, 0.21391980350017548
500, 4000, 1, 0, 1, 2.1029428793117404
500, 4000, 2, 0, 1, 1.0378670934587717
500, 4000, 4, 0, 1, 0.5223965579643846
500, 4000, 8, 0, 1, 0.26804691553115845
500, 4000, 15, 0, 1, 0.14983517490327358
500, 4000, 1, 0, 5, 2.11771874781698
500, 4000, 2, 0, 5, 1.0499071329832077
500, 4000, 4, 0, 5, 0.531226028688252
500, 4000, 8, 0, 5, 0.2732756147161126
500, 4000, 15, 0, 5, 0.15998508129268885
500, 4000, 1, 0, 10, 2.1272996850311756
500, 4000, 2, 0, 10, 1.0671668387949467
500, 4000, 4, 0, 10, 0.5390120670199394
500, 4000, 8, 0, 10, 0.2797787990421057
500, 4000, 15, 0, 10, 0.17942255176603794
500, 8000, 1, 0, 1, 4.105946579948068
500, 8000, 2, 0, 1, 2.047486772760749
500, 8000, 4, 0, 1, 1.0244175009429455
500, 8000, 8, 0, 1, 0.5226248959079385
500, 8000, 15, 0, 1, 0.28663575649261475
500, 8000, 1, 0, 5, 4.117017895914614
500, 8000, 2, 0, 5, 2.0608178321272135
500, 8000, 4, 0, 5, 1.0318431071937084
500, 8000, 8, 0, 5, 0.5254061557352543
500, 8000, 15, 0, 5, 0.2881150050088763
500, 8000, 1, 0, 10, 4.128409325145185
500, 8000, 2, 0, 10, 2.0709423068910837
500, 8000, 4, 0, 10, 1.0444774655625224
500, 8000, 8, 0, 10, 0.5305455075576901
500, 8000, 15, 0, 10, 0.29680982045829296
500, 16000, 1, 0, 1, 8.106580798514187
500, 16000, 2, 0, 1, 4.050852481275797
500, 16000, 4, 0, 1, 2.0297776432707906
500, 16000, 8, 0, 1, 1.0255490532144904
500, 16000, 15, 0, 1, 0.5578183075413108
500, 16000, 1, 0, 5, 8.114877421408892
500, 16000, 2, 0, 5, 4.061541627161205
500, 16000, 4, 0, 5, 2.035521044395864
500, 16000, 8, 0, 5, 1.0297241127118468
500, 16000, 15, 0, 5, 0.5610372228547931
500, 16000, 1, 0, 10, 8.128978837281466
500, 16000, 2, 0, 10, 4.074294062331319
500, 16000, 4, 0, 10, 2.047568648122251
500, 16000, 8, 0, 10, 1.0340816481038928
500, 16000, 15, 0, 10, 0.5656635044142604
500, 32000, 1, 0, 1, 16.10685297381133
500, 32000, 2, 0, 1, 8.040625574067235
500, 32000, 4, 0, 1, 4.03456543572247
500, 32000, 8, 0, 1, 2.0416718618944287
500, 32000, 15, 0, 1, 1.1030880501493812
500, 32000, 1, 0, 5, 16.116433009505272
500, 32000, 2, 0, 5, 8.061653338372707
500, 32000, 4, 0, 5, 4.0391727620735765
500, 32000, 8, 0, 5, 2.0411346266046166
500, 32000, 15, 0, 5, 1.1044710334390402
500, 32000, 1, 0, 10, 16.129577259533107
500, 32000, 2, 0, 10, 8.077605625614524
500, 32000, 4, 0, 10, 4.047411387786269
500, 32000, 8, 0, 10, 2.0480065448209643
500, 32000, 15, 0, 10, 1.1091069877147675
500, 64000, 1, 0, 1, 32.11127084121108
500, 64000, 2, 0, 1, 16.06758493743837
500, 64000, 4, 0, 1, 8.037249245680869
500, 64000, 8, 0, 1, 4.057690183632076
500, 64000, 15, 0, 1, 2.1953722489997745
500, 64000, 1, 0, 5, 32.12219122890383
500, 64000, 2, 0, 5, 16.076384871266782
500, 64000, 4, 0, 5, 8.03971894364804
500, 64000, 8, 0, 5, 4.05642509367317
500, 64000, 15, 0, 5, 2.1937450328841805
500, 64000, 1, 0, 10, 32.12408919259906
500, 64000, 2, 0, 10, 16.093253707513213
500, 64000, 4, 0, 10, 8.052861248143017
500, 64000, 8, 0, 10, 4.061530842445791
500, 64000, 15, 0, 10, 2.2002671007066965
1000, 500, 1, 0, 1, 0.6833214638754725
1000, 500, 2, 0, 1, 0.3139115581288934
1000, 500, 4, 0, 1, 0.1712378030642867
1000, 500, 8, 0, 1, 0.11215267516672611
1000, 500, 15, 0, 1, 0.1468637464568019
1000, 500, 1, 0, 5, 0.7062807399779558
1000, 500, 2, 0, 5, 0.337796906940639
1000, 500, 4, 0, 5, 0.20327438320964575
1000, 500, 8, 0, 5, 0.17546186409890652
1000, 500, 15, 0, 5, 0.25902792904525995
1000, 500, 1, 0, 10, 0.7388461614027619
1000, 500, 2, 0, 10, 0.3988607684150338
1000, 500, 4, 0, 10, 0.24123923294246197
1000, 500, 8, 0, 10, 0.2739298203960061
1000, 500, 15, 0, 10, 0.3137557515874505
1000, 1000, 1, 0, 1, 1.1992178168147802
1000, 1000, 2, 0, 1, 0.5621398007497191
1000, 1000, 4, 0, 1, 0.29396566189825535
1000, 1000, 8, 0, 1, 0.1545838275924325
1000, 1000, 15, 0, 1, 0.15178349614143372
1000, 1000, 1, 0, 5, 1.2245742427185178
1000, 1000, 2, 0, 5, 0.5880435910075903
1000, 1000, 4, 0, 5, 0.30944060906767845
1000, 1000, 8, 0, 5, 0.20254795905202627
1000, 1000, 15, 0, 5, 0.2748078275471926
1000, 1000, 1, 0, 10, 1.2442376827821136
1000, 1000, 2, 0, 10, 0.6235992591828108
1000, 1000, 4, 0, 10, 0.3432660959661007
1000, 1000, 8, 0, 10, 0.2751282760873437
1000, 1000, 15, 0, 10, 0.39954699017107487
1000, 2000, 1, 0, 1, 2.19410992693156
1000, 2000, 2, 0, 1, 1.0661950940266252
1000, 2000, 4, 0, 1, 0.5441000396385789
1000, 2000, 8, 0, 1, 0.28020470310002565
1000, 2000, 15, 0, 1, 0.16933349799364805
1000, 2000, 1, 0, 5, 2.21653691586107
1000, 2000, 2, 0, 5, 1.0946764219552279
1000, 2000, 4, 0, 5, 0.5574152385815978
1000, 2000, 8, 0, 5, 0.2977231042459607
1000, 2000, 15, 0, 5, 0.25389581359922886
1000, 2000, 1, 0, 10, 2.1747856847941875
1000, 2000, 2, 0, 10, 1.1296886606141925
1000, 2000, 4, 0, 10, 0.5766718713566661
1000, 2000, 8, 0, 10, 0.3255098043009639
1000, 2000, 15, 0, 10, 0.41402352415025234
1000, 4000, 1, 0, 1, 4.138757065869868
1000, 4000, 2, 0, 1, 2.084643056616187
1000, 4000, 4, 0, 1, 1.0542690930888057
1000, 4000, 8, 0, 1, 0.5306438142433763
1000, 4000, 15, 0, 1, 0.29534535948187113
1000, 4000, 1, 0, 5, 4.163539716973901
1000, 4000, 2, 0, 5, 2.1031910330057144
1000, 4000, 4, 0, 5, 1.0658840201795101
