n, t, workers, frac, accesses, kernel_total, kernel_average, kernel_median, task_cleanup_total, task_cleanup_average, task_cleanup_median, task_spawn_total
500, 500, 1, 0, 1, 1922335, 3844.67, 3163.0, 0, nan, nan, 0
500, 500, 2, 0, 1, 8147003, 16294.006, 5849.5, 0, nan, nan, 0
500, 500, 4, 0, 1, 13961115, 27922.23, 8194.0, 0, nan, nan, 0
500, 500, 8, 0, 1, 119448527, 238897.054, 175945.5, 0, nan, nan, 0
500, 500, 15, 0, 1, 375044674, 750089.348, 624800.0, 0, nan, nan, 0
500, 500, 1, 0, 5, 5864242, 2345.6968, 1928.5, 0, nan, nan, 0
500, 500, 2, 0, 5, 16790320, 6716.128, 3891.0, 0, nan, nan, 0
500, 500, 4, 0, 5, 102854419, 41141.7676, 7698.5, 0, nan, nan, 0
500, 500, 8, 0, 5, 721382202, 288552.8808, 219420.0, 0, nan, nan, 0
500, 500, 15, 0, 5, 1531983554, 612793.4216, 533881.5, 0, nan, nan, 0
500, 500, 1, 0, 10, 11689234, 2337.8468, 1761.0, 0, nan, nan, 0
500, 500, 2, 0, 10, 27028969, 5405.7938, 3762.0, 0, nan, nan, 0
500, 500, 4, 0, 10, 196421863, 39284.3726, 7965.5, 0, nan, nan, 0
500, 500, 8, 0, 10, 1523268240, 304653.648, 237179.0, 0, nan, nan, 0
500, 500, 15, 0, 10, 3136948401, 627389.6802, 570061.5, 0, nan, nan, 0
500, 1000, 1, 0, 1, 2144801, 4289.602, 3578.5, 0, nan, nan, 0
500, 1000, 2, 0, 1, 18925144, 37850.288, 9583.0, 0, nan, nan, 0
500, 1000, 4, 0, 1, 14445964, 28891.928, 8085.0, 0, nan, nan, 0
500, 1000, 8, 0, 1, 30829661, 61659.322, 12327.0, 0, nan, nan, 0
500, 1000, 15, 0, 1, 316537827, 633075.654, 524601.0, 0, nan, nan, 0
500, 1000, 1, 0, 5, 5800810, 2320.324, 1876.5, 0, nan, nan, 0
500, 1000, 2, 0, 5, 19136103, 7654.4412, 5160.5, 0, nan, nan, 0
500, 1000, 4, 0, 5, 43273170, 17309.268, 5505.0, 0, nan, nan, 0
500, 1000, 8, 0, 5, 315489375, 126195.75, 102480.5, 0, nan, nan, 0
500, 1000, 15, 0, 5, 1548523091, 619409.2364, 533040.0, 0, nan, nan, 0
500, 1000, 1, 0, 10, 11622007, 2324.4014, 1882.0, 0, nan, nan, 0
500, 1000, 2, 0, 10, 24931623, 4986.3246, 3726.0, 0, nan, nan, 0
500, 1000, 4, 0, 10, 120893747, 24178.7494, 5997.5, 0, nan, nan, 0
500, 1000, 8, 0, 10, 1094215995, 218843.199, 185295.0, 0, nan, nan, 0
500, 1000, 15, 0, 10, 2729517773, 545903.5546, 501460.5, 0, nan, nan, 0
500, 2000, 1, 0, 1, 2191575, 4383.15, 3607.0, 0, nan, nan, 0
500, 2000, 2, 0, 1, 8992729, 17985.458, 8420.0, 0, nan, nan, 0
500, 2000, 4, 0, 1, 13427050, 26854.1, 8062.5, 0, nan, nan, 0
500, 2000, 8, 0, 1, 24772397, 49544.794, 8949.5, 0, nan, nan, 0
500, 2000, 15, 0, 1, 78535292, 157070.584, 28519.5, 0, nan, nan, 0
500, 2000, 1, 0, 5, 6050582, 2420.2328, 1939.0, 0, nan, nan, 0
500, 2000, 2, 0, 5, 27471505, 10988.602, 5079.5, 0, nan, nan, 0
500, 2000, 4, 0, 5, 38345821, 15338.3284, 5308.0, 0, nan, nan, 0
500, 2000, 8, 0, 5, 116884800, 46753.92, 8313.0, 0, nan, nan, 0
500, 2000, 15, 0, 5, 1529046121, 611618.4484, 517874.0, 0, nan, nan, 0
500, 2000, 1, 0, 10, 11572504, 2314.5008, 2065.0, 0, nan, nan, 0
500, 2000, 2, 0, 10, 32680525, 6536.105, 4924.0, 0, nan, nan, 0
500, 2000, 4, 0, 10, 67312726, 13462.5452, 5078.0, 0, nan, nan, 0
500, 2000, 8, 0, 10, 326661619, 65332.3238, 20298.0, 0, nan, nan, 0
500, 2000, 15, 0, 10, 3106947575.0, 621638.1702681072, 519648.5, 0, nan, nan, 0
500, 4000, 1, 0, 1, 3239898, 6479.796, 3695.5, 0, nan, nan, 0
500, 4000, 2, 0, 1, 16546556, 33093.112, 8662.0, 0, nan, nan, 0
500, 4000, 4, 0, 1, 10194120, 20388.24, 6750.5, 0, nan, nan, 0
500, 4000, 8, 0, 1, 24127094, 48254.188, 9609.0, 0, nan, nan, 0
500, 4000, 15, 0, 1, 47481691, 94963.382, 9677.0, 0, nan, nan, 0
500, 4000, 1, 0, 5, 8603426, 3441.3704, 2243.0, 0, nan, nan, 0
500, 4000, 2, 0, 5, 19051877, 7620.7508, 5453.0, 0, nan, nan, 0
