n, t, workers, frac, accesses, kernel_total, kernel_average, kernel_median, task_cleanup_total, task_cleanup_average, task_cleanup_median, task_spawn_total
100, 500, 1, 0, 1, 580783, 5807.83, 3096.5, 0, nan, nan, 0
100, 500, 2, 0, 1, 3425885, 17129.425, 7831.5, 0, nan, nan, 0
100, 500, 4, 0, 1, 18415615, 46039.0375, 22142.5, 0, nan, nan, 0
100, 500, 8, 0, 1, 60384178, 75480.2225, 41049.0, 0, nan, nan, 0
100, 500, 15, 0, 1, 850385683, 566923.7886666667, 499652.0, 0, nan, nan, 0
100, 500, 1, 0, 5, 1423981, 2847.962, 1980.0, 0, nan, nan, 0
100, 500, 2, 0, 5, 6928783, 6928.783, 3692.5, 0, nan, nan, 0
100, 500, 4, 0, 5, 37449603, 18724.8015, 4166.5, 0, nan, nan, 0
100, 500, 8, 0, 5, 628901303, 157225.32575, 139495.0, 0, nan, nan, 0
100, 500, 15, 0, 5, 2651068658, 353475.8210666667, 195064.5, 0, nan, nan, 0
100, 500, 1, 0, 10, 2262344, 2262.344, 1791.0, 0, nan, nan, 0
100, 500, 2, 0, 10, 11649941, 5824.9705, 3772.0, 0, nan, nan, 0
100, 500, 4, 0, 10, 69102189, 17275.54725, 3871.5, 0, nan, nan, 0
100, 500, 8, 0, 10, 1506702815, 188337.851875, 187299.0, 0, nan, nan, 0
100, 500, 15, 0, 10, 5549318151, 369954.5434, 258092.0, 0, nan, nan, 0
100, 1000, 1, 0, 1, 595156, 5951.56, 3461.0, 0, nan, nan, 0
100, 1000, 2, 0, 1, 2739741, 13698.705, 7726.0, 0, nan, nan, 0
100, 1000, 4, 0, 1, 18630528, 46576.32, 16806.0, 0, nan, nan, 0
100, 1000, 8, 0, 1, 60527165, 75658.95625, 38798.0, 0, nan, nan, 0
100, 1000, 15, 0, 1, 312125609, 208083.73933333333, 136998.5, 0, nan, nan, 0
100, 1000, 1, 0, 5, 1475995, 2951.99, 2022.5, 0, nan, nan, 0
100, 1000, 2, 0, 5, 9053498, 9053.498, 5073.0, 0, nan, nan, 0
100, 1000, 4, 0, 5, 29252112, 14626.056, 5275.0, 0, nan, nan, 0
100, 1000, 8, 0, 5, 210440319, 52610.07975, 8597.5, 0, nan, nan, 0
100, 1000, 15, 0, 5, 3174584477, 423277.9302666667, 179848.5, 0, nan, nan, 0
100, 1000, 1, 0, 10, 2271366, 2271.366, 1765.0, 0, nan, nan, 0
100, 1000, 2, 0, 10, 13722069, 6861.0345, 5006.0, 0, nan, nan, 0
100, 1000, 4, 0, 10, 54693384, 13673.346, 4913.0, 0, nan, nan, 0
100, 1000, 8, 0, 10, 1029711092.0, 128746.07301825457, 105520.5, 0, nan, nan, 0
100, 1000, 15, 0, 10, 5321698351, 354779.89006666664, 216038.0, 0, nan, nan, 0
100, 2000, 1, 0, 1, 641231, 6412.31, 3701.0, 0, nan, nan, 0
100, 2000, 2, 0, 1, 2846166, 14230.83, 7857.0, 0, nan, nan, 0
100, 2000, 4, 0, 1, 17944213, 44860.5325, 21473.0, 0, nan, nan, 0
100, 2000, 8, 0, 1, 54812530, 68515.6625, 36396.0, 0, nan, nan, 0
100, 2000, 15, 0, 1, 284574443, 189716.29533333334, 126635.5, 0, nan, nan, 0
100, 2000, 1, 0, 5, 1472446, 2944.892, 2024.0, 0, nan, nan, 0
100, 2000, 2, 0, 5, 7567151, 7567.151, 5125.0, 0, nan, nan, 0
100, 2000, 4, 0, 5, 32862928, 16431.464, 5449.5, 0, nan, nan, 0
100, 2000, 8, 0, 5, 110282910, 27570.7275, 5871.0, 0, nan, nan, 0
100, 2000, 15, 0, 5, 1770596614.0, 236142.51987196587, 152655.5, 0, nan, nan, 0
100, 2000, 1, 0, 10, 2565560, 2565.56, 2059.5, 0, nan, nan, 0
100, 2000, 2, 0, 10, 13633561, 6816.7805, 5093.0, 0, nan, nan, 0
100, 2000, 4, 0, 10, 43697019, 10924.25475, 4094.0, 0, nan, nan, 0
100, 2000, 8, 0, 10, 284251428, 35531.4285, 5958.0, 0, nan, nan, 0
100, 2000, 15, 0, 10, 6581399087, 438759.93913333333, 160112.5, 0, nan, nan, 0
100, 4000, 1, 0, 1, 694960, 6949.6, 3656.5, 0, nan, nan, 0
100, 4000, 2, 0, 1, 2508841, 12544.205, 6649.5, 0, nan, nan, 0
100, 4000, 4, 0, 1, 16474522, 41186.305, 20395.5, 0, nan, nan, 0
100, 4000, 8, 0, 1, 52203896, 65254.87, 35098.5, 0, nan, nan, 0
100, 4000, 15, 0, 1, 315144944, 210096.62933333335, 143824.5, 0, nan, nan, 0
100, 4000, 1, 0, 5, 1454824, 2909.648, 2130.0, 0, nan, nan, 0
100, 4000, 2, 0, 5, 7468311, 7468.311, 5256.5, 0, nan, nan, 0
100, 4000, 4, 0, 5, 31759720, 15879.86, 5609.0, 0, nan, nan, 0
100, 4000, 8, 0, 5, 97532812, 24383.203, 5650.0, 0, nan, nan, 0
100, 4000, 15, 0, 5, 531646694, 70886.22586666666, 7332.0, 0, nan, nan, 0
100, 4000, 1, 0, 10, 2348255, 2348.255, 1944.0, 0, nan, nan, 0
100, 4000, 2, 0, 10, 13860053, 6930.0265, 5301.0, 0, nan, nan, 0
100, 4000, 4, 0, 10, 44129551, 11032.38775, 5201.0, 0, nan, nan, 0
100, 4000, 8, 0, 10, 148529071, 18566.133875, 5431.0, 0, nan, nan, 0
100, 4000, 15, 0, 10, 1912906647, 127527.1098, 25993.5, 0, nan, nan, 0
100, 8000, 1, 0, 1, 717903, 7179.03, 4158.5, 0, nan, nan, 0
100, 8000, 2, 0, 1, 2817145, 14085.725, 8303.5, 0, nan, nan, 0
100, 8000, 4, 0, 1, 15587580, 38968.95, 16981.0, 0, nan, nan, 0
100, 8000, 8, 0, 1, 52616048, 65770.06, 36900.5, 0, nan, nan, 0
100, 8000, 15, 0, 1, 298949705, 199299.80333333334, 144655.5, 0, nan, nan, 0
100, 8000, 1, 0, 5, 1555301, 3110.602, 2094.0, 0, nan, nan, 0
100, 8000, 2, 0, 5, 7067438, 7067.438, 5315.5, 0, nan, nan, 0
100, 8000, 4, 0, 5, 28830426, 14415.213, 5538.0, 0, nan, nan, 0
100, 8000, 8, 0, 5, 90216721, 22554.18025, 5544.0, 0, nan, nan, 0
100, 8000, 15, 0, 5, 347319182, 46309.224266666664, 6278.0, 0, nan, nan, 0
100, 8000, 1, 0, 10, 2483907, 2483.907, 1957.0, 0, nan, nan, 0
100, 8000, 2, 0, 10, 13869765, 6934.8825, 5209.5, 0, nan, nan, 0
100, 8000, 4, 0, 10, 42510878, 10627.7195, 5301.0, 0, nan, nan, 0
100, 8000, 8, 0, 10, 116268306, 14533.53825, 5630.0, 0, nan, nan, 0
100, 8000, 15, 0, 10, 583398408, 38893.2272, 6742.0, 0, nan, nan, 0
100, 16000, 1, 0, 1, 1085094, 10850.94, 5260.5, 0, nan, nan, 0
100, 16000, 2, 0, 1, 3786603, 18933.015, 8370.5, 0, nan, nan, 0
100, 16000, 4, 0, 1, 26107624, 65269.06, 15531.5, 0, nan, nan, 0
100, 16000, 8, 0, 1, 62618887, 78273.60875, 44059.0, 0, nan, nan, 0
100, 16000, 15, 0, 1, 345201185, 230134.12333333332, 163557.0, 0, nan, nan, 0
100, 16000, 1, 0, 5, 2407033, 4814.066, 2466.5, 0, nan, nan, 0
100, 16000, 2, 0, 5, 8074390, 8074.39, 5423.5, 0, nan, nan, 0
100, 16000, 4, 0, 5, 41072383, 20536.1915, 5592.5, 0, nan, nan, 0
100, 16000, 8, 0, 5, 105384293, 26346.07325, 5914.5, 0, nan, nan, 0
100, 16000, 15, 0, 5, 416005437, 55467.3916, 6428.5, 0, nan, nan, 0
100, 16000, 1, 0, 10, 2820911, 2820.911, 2012.0, 0, nan, nan, 0
100, 16000, 2, 0, 10, 15558614, 7779.307, 5528.0, 0, nan, nan, 0
100, 16000, 4, 0, 10, 44506764, 11126.691, 5356.0, 0, nan, nan, 0
100, 16000, 8, 0, 10, 112136343, 14017.042875, 5598.0, 0, nan, nan, 0
100, 16000, 15, 0, 10, 461094017, 30739.601133333334, 5842.0, 0, nan, nan, 0
100, 32000, 1, 0, 1, 1177150, 11771.5, 7558.0, 0, nan, nan, 0
100, 32000, 2, 0, 1, 6630014, 33150.07, 11466.0, 0, nan, nan, 0
100, 32000, 4, 0, 1, 25273328, 63183.32, 24426.5, 0, nan, nan, 0
100, 32000, 8, 0, 1, 72432403, 90540.50375, 54858.5, 0, nan, nan, 0
